rank,channel_info,country,rank_group,follower_band,engagement_band,insight_segment,influence_score,balanced_influencer_score,posts,followers,followers_m,avg_likes,avg_likes_m,new_post_avg_like,new_post_avg_like_m,total_likes,total_likes_b,recent_60_day_eng_rate,recent_60_day_eng_rate_pct,engagement_rate,engagement_rate_pct,recent_eng_rate_missing,followers_score_0_100,engagement_score_0_100,recent_eng_score_0_100,influence_score_0_100
1,cristiano,Spain,Top 10,Q4 팔로워 높음,Q3 반응 중상,일반 계정,92,61.55603354659563,3300.0,475800000.0,475.8,8700000.0,8.7,6500000.0,6.5,29000000000.0,29.0,0.0139,1.39,0.01828499369482976,1.8284993694829759,False,100.0,5.03807043545588,5.263157894736842,98.59154929577466
2,kyliejenner,United States,Top 10,Q4 팔로워 높음,Q3 반응 중상,일반 계정,91,59.07075540418651,6900.0,366200000.0,366.2,8300000.000000001,8.3,5900000.0,5.9,57400000000.0,57.4,0.016200000000000003,1.6200000000000003,0.02266521026761333,2.2665210267613327,False,90.21083547651234,6.33542403027746,6.134040136312004,97.1830985915493
3,leomessi,None,Top 10,Q4 팔로워 높음,Q3 반응 중상,일반 계정,90,57.862937479594905,890.0,357300000.0,357.3,6800000.0,6.8,4400000.0,4.4,6000000000.0,6.0,0.0124,1.24,0.01903162608452281,1.9031626084522808,False,89.29091654208142,5.2592116047754915,4.695191215448694,95.77464788732394
4,selenagomez,United States,Top 10,Q4 팔로워 높음,Q3 반응 중상,일반 계정,93,58.728883722684564,1800.0,342700000.0,342.7,6200000.0,6.2,3300000.0,3.3,11500000000.0,11.5,0.0097,0.97,0.01809162532827546,1.8091625328275458,False,87.73102651173348,4.980797663366764,3.6728511927300262,100.0
5,therock,United States,Top 10,Q4 팔로워 높음,Q1 반응 낮음,일반 계정,91,56.149550204778265,6800.0,334100000.0,334.1,1900000.0,1.9,665300.0,0.6653,12500000000.0,12.5,0.002,0.2,0.005686920083807243,0.5686920083807243,False,86.78077699756032,1.3067124499532465,0.7572889057175313,97.1830985915493
6,kimkardashian,United States,Top 10,Q4 팔로워 높음,Q2 반응 중하,일반 계정,91,56.7638144498449,5600.0,329200000.0,329.2,3500000.0,3.5,2900000.0,2.9,19900000000.0,19.9,0.0088,0.88,0.0106318347509113,1.06318347509113,False,86.22835601995891,2.7713210401573987,3.332071185157138,97.1830985915493
7,arianagrande,United States,Top 10,Q4 팔로워 높음,Q2 반응 중하,일반 계정,92,57.444628193071516,5000.0,327700000.0,327.7,3700000.0,3.7,3900000.0,3.9,18400000000.0,18.4,0.012,1.2,0.011290814769606347,1.1290814769606348,False,86.05760278862039,2.966500908998065,4.543733434305188,98.59154929577466
8,beyonce,United States,Top 10,Q4 팔로워 높음,Q2 반응 중하,일반 계정,92,55.62191268724946,2000.0,272800000.0,272.8,3600000.0,3.6,2000000.0,2.0,7400000000.0,7.4,0.0076,0.76,0.013196480938416423,1.3196480938416422,False,79.20193275681603,3.530930273061334,2.877697841726619,98.59154929577466
9,khloekardashian,United States,Top 10,Q4 팔로워 높음,Q2 반응 중하,일반 계정,89,53.43990746841478,4100.0,268300000.0,268.3,2400000.0,2.4,926900.0,0.9269,9800000000.0,9.8,0.0034999999999999996,0.35,0.008945210585165859,0.8945210585165859,False,78.58003187709133,2.2717685892263573,1.3252555850056795,94.36619718309859
10,justinbieber,Canada,Top 10,Q4 팔로워 높음,Q1 반응 낮음,일반 계정,91,53.95899336377157,7400.0,254500000.0,254.5,1900000.0,1.9,1500000.0,1.5,13900000000.0,13.9,0.0059,0.59,0.007465618860510805,0.7465618860510805,False,76.60569806215037,1.8335360016468707,2.2340022718667174,97.1830985915493
